x,y,z
-1.37703,1.3093,99.2793
-1.38011,1.31882,99.2757
-1.38314,1.32835,99.2721
-1.38613,1.33789,99.2684
-1.38906,1.34745,99.2648
-1.39195,1.35702,99.2611
-1.39479,1.36661,99.2575
-1.39759,1.37621,99.2539
-1.40033,1.38583,99.2502
-1.40303,1.39546,99.2466
-1.40568,1.4051,99.2429
-1.40828,1.41476,99.2393
-1.41083,1.42443,99.2357
-1.41334,1.43411,99.232
-1.41579,1.4438,99.2284
-1.4182,1.45351,99.2247
-1.42056,1.46322,99.2211
-1.42287,1.47295,99.2175
-1.42513,1.48269,99.2138
-1.42734,1.49245,99.2102
-1.4295,1.50221,99.2065
-1.43162,1.51198,99.2029
-1.43369,1.52177,99.1993
-1.4357,1.53156,99.1956
-1.43767,1.54137,99.192
-1.43959,1.55118,99.1883
-1.44146,1.561,99.1847
-1.44328,1.57084,99.1811
-1.44505,1.58068,99.1774
-1.44677,1.59053,99.1738
-1.44845,1.60039,99.1702
-1.45007,1.61026,99.1665
-1.45165,1.62013,99.1629
-1.45317,1.63001,99.1592
-1.45465,1.6399,99.1556
-1.45607,1.6498,99.1519
-1.45745,1.65971,99.1483
-1.45878,1.66962,99.1447
-1.46005,1.67954,99.141
-1.46128,1.68946,99.1374
-1.46246,1.69939,99.1338
-1.46359,1.70933,99.1301
-1.46467,1.71927,99.1265
-1.4657,1.72922,99.1228
-1.46668,1.73917,99.1192
-1.46761,1.74912,99.1156
-1.46849,1.75909,99.1119
-1.46932,1.76905,99.1083
-1.4701,1.77902,99.1046
-1.47083,1.78899,99.101
-1.47151,1.79897,99.0974
-1.47214,1.80895,99.0937
-1.47272,1.81893,99.0901
-1.47325,1.82892,99.0864
-1.47373,1.83891,99.0828
-1.47416,1.8489,99.0792
-1.47454,1.85889,99.0755
-1.47487,1.86889,99.0719
-1.47515,1.87888,99.0682
-1.47538,1.88888,99.0646
-1.47557,1.89888,99.061
-1.4757,1.90888,99.0573
-1.47578,1.91888,99.0537
-1.47581,1.92888,99.05
-1.47579,1.93888,99.0464
-1.47572,1.94888,99.0428
-1.4756,1.95888,99.0391
-1.47543,1.96887,99.0355
-1.47521,1.97887,99.0318
-1.47495,1.98887,99.0282
-1.47463,1.99886,99.0246
-1.47426,2.00886,99.0209
-1.47384,2.01885,99.0173
-1.47337,2.02884,99.0136
-1.47285,2.03882,99.01
-1.47228,2.04881,99.0064
-1.47166,2.05879,99.0027
-1.471,2.06877,98.9991
-1.47028,2.07874,98.9954
-1.46951,2.08871,98.9918
-1.46869,2.09868,98.9882
-1.46782,2.10864,98.9845
-1.46691,2.1186,98.9809
-1.46594,2.12855,98.9772
-1.46492,2.1385,98.9736
-1.46385,2.14844,98.97
-1.46274,2.15838,98.9663
-1.46157,2.16831,98.9627
-1.46035,2.17824,98.959
-1.45909,2.18816,98.9554
-1.45777,2.19807,98.9518
-1.45641,2.20798,98.9481
-1.455,2.21787,98.9445
-1.45353,2.22777,98.9408
-1.45202,2.23765,98.9372
-1.45046,2.24753,98.9336
-1.44884,2.2574,98.9299
-1.44718,2.26726,98.9263
-1.44547,2.27711,98.9226
-1.44371,2.28696,98.919
-1.4419,2.29679,98.9154
-1.44005,2.30662,98.9117
-1.43814,2.31643,98.9081
-1.43618,2.32624,98.9044
-1.43418,2.33604,98.9008
-1.43212,2.34582,98.8972
-1.43002,2.3556,98.8935
-1.42787,2.36537,98.8899
-1.42567,2.37512,98.8863
-1.42342,2.38486,98.8826
-1.42112,2.3946,98.879
-1.41877,2.40432,98.8753
-1.41638,2.41403,98.8717
-1.41393,2.42372,98.868
-1.41144,2.43341,98.8644
-1.4089,2.44308,98.8608
-1.40631,2.45274,98.8571
-1.40367,2.46238,98.8535
-1.40099,2.47202,98.8499
-1.39825,2.48164,98.8462
-1.39547,2.49124,98.8426
-1.39264,2.50083,98.8389
-1.38976,2.51041,98.8353
-1.38684,2.51997,98.8317
-1.38387,2.52952,98.828
-1.38084,2.53905,98.8244
-1.37778,2.54857,98.8207
-1.37466,2.55807,98.8171
-1.3715,2.56756,98.8135
-1.36828,2.57703,98.8098
-1.36503,2.58648,98.8062
-1.36172,2.59592,98.8025
-1.35837,2.60534,98.7989
-1.35497,2.61475,98.7953
-1.35152,2.62413,98.7916
-1.34803,2.6335,98.788
-1.34449,2.64286,98.7843
-1.3409,2.65219,98.7807
-1.33727,2.66151,98.7771
-1.33359,2.6708,98.7734
-1.32986,2.68008,98.7698
-1.32609,2.68934,98.7661
-1.32227,2.69859,98.7625
-1.3184,2.70781,98.7589
-1.31449,2.71701,98.7552
-1.31053,2.7262,98.7516
-1.30653,2.73536,98.7479
-1.30248,2.7445,98.7443
-1.29838,2.75363,98.7407
-1.29424,2.76273,98.737
-1.29006,2.77181,98.7334
-1.28583,2.78087,98.7297
-1.28155,2.78991,98.7261
-1.27723,2.79893,98.7225
-1.27286,2.80792,98.7188
-1.26845,2.8169,98.7152
-1.26399,2.82585,98.7115
-1.25949,2.83478,98.7079
-1.25495,2.84369,98.7043
-1.25036,2.85257,98.7006
-1.24572,2.86143,98.697
-1.24104,2.87027,98.6933
-1.23632,2.87909,98.6897
-1.23155,2.88788,98.6861
-1.22674,2.89664,98.6824
-1.22189,2.90539,98.6788
-1.21699,2.9141,98.6751
-1.21205,2.9228,98.6715
-1.20706,2.93147,98.6679
-1.20203,2.94011,98.6642
-1.19696,2.94873,98.6606
-1.19185,2.95732,98.657
-1.18669,2.96589,98.6533
-1.18149,2.97443,98.6497
-1.17625,2.98294,98.646
-1.17096,2.99143,98.6424
-1.16563,2.9999,98.6387
-1.16026,3.00833,98.6351
-1.15485,3.01674,98.6315
-1.1494,3.02512,98.6278
-1.1439,3.03348,98.6242
-1.13836,3.0418,98.6206
-1.13278,3.0501,98.6169
-1.12716,3.05837,98.6133
-1.1215,3.06662,98.6096
-1.1158,3.07483,98.606
-1.11005,3.08302,98.6024
-1.10427,3.09117,98.5987
-1.09844,3.0993,98.5951
-1.09258,3.1074,98.5914
-1.08667,3.11547,98.5878
-1.08072,3.12351,98.5842
-1.07473,3.13152,98.5805
-1.06871,3.1395,98.5769
-1.06264,3.14745,98.5732
-1.05653,3.15536,98.5696
-1.05039,3.16325,98.566
-1.0442,3.17111,98.5623
-1.03798,3.17894,98.5587
-1.03171,3.18673,98.555
-1.02541,3.1945,98.5514
-1.01907,3.20223,98.5478
-1.01269,3.20993,98.5441
-1.00627,3.2176,98.5405
-0.999814,3.22523,98.5368
-0.99332,3.23284,98.5332
-0.986787,3.24041,98.5296
-0.980216,3.24795,98.5259
-0.973608,3.25545,98.5223
-0.966963,3.26292,98.5186
-0.96028,3.27036,98.515
-0.95356,3.27777,98.5114
-0.946803,3.28514,98.5077
-0.940009,3.29248,98.5041
-0.933179,3.29978,98.5004
-0.926312,3.30705,98.4968
-0.91941,3.31429,98.4932
-0.91247,3.32149,98.4895
-0.905496,3.32865,98.4859
-0.898485,3.33578,98.4822
-0.891439,3.34288,98.4786
-0.884357,3.34994,98.475
-0.87724,3.35697,98.4713
-0.870088,3.36396,98.4677
-0.862902,3.37091,98.464
-0.85568,3.37783,98.4604
-0.848424,3.38471,98.4568
-0.841134,3.39155,98.4531
-0.83381,3.39836,98.4495
-0.826451,3.40513,98.4458
-0.819059,3.41187,98.4422
-0.811633,3.41856,98.4386
-0.804174,3.42522,98.4349
-0.796682,3.43185,98.4313
-0.789157,3.43843,98.4277
-0.781599,3.44498,98.424
