x,y,z
-1.12875,1.52853,99.2793
-1.13013,1.53843,99.2757
-1.13146,1.54835,99.2721
-1.13274,1.55826,99.2684
-1.13398,1.56819,99.2648
-1.13516,1.57812,99.2611
-1.13629,1.58805,99.2575
-1.13738,1.59799,99.2539
-1.13841,1.60794,99.2502
-1.13939,1.61789,99.2466
-1.14033,1.62785,99.2429
-1.14121,1.63781,99.2393
-1.14205,1.64777,99.2357
-1.14283,1.65774,99.232
-1.14357,1.66772,99.2284
-1.14425,1.67769,99.2247
-1.14489,1.68767,99.2211
-1.14547,1.69765,99.2175
-1.14601,1.70764,99.2138
-1.1465,1.71763,99.2102
-1.14693,1.72762,99.2065
-1.14732,1.73761,99.2029
-1.14765,1.74761,99.1993
-1.14794,1.7576,99.1956
-1.14817,1.7676,99.192
-1.14836,1.7776,99.1883
-1.14849,1.7876,99.1847
-1.14858,1.7976,99.1811
-1.14862,1.8076,99.1774
-1.1486,1.8176,99.1738
-1.14854,1.8276,99.1702
-1.14842,1.8376,99.1665
-1.14826,1.84759,99.1629
-1.14804,1.85759,99.1592
-1.14778,1.86759,99.1556
-1.14747,1.87758,99.1519
-1.1471,1.88758,99.1483
-1.14669,1.89757,99.1447
-1.14622,1.90756,99.141
-1.14571,1.91754,99.1374
-1.14515,1.92753,99.1338
-1.14453,1.93751,99.1301
-1.14387,1.94749,99.1265
-1.14315,1.95746,99.1228
-1.14239,1.96743,99.1192
-1.14158,1.9774,99.1156
-1.14071,1.98736,99.1119
-1.1398,1.99732,99.1083
-1.13884,2.00727,99.1046
-1.13783,2.01722,99.101
-1.13676,2.02717,99.0974
-1.13565,2.0371,99.0937
-1.13449,2.04704,99.0901
-1.13328,2.05696,99.0864
-1.13202,2.06688,99.0828
-1.13071,2.0768,99.0792
-1.12935,2.0867,99.0755
-1.12794,2.0966,99.0719
-1.12648,2.1065,99.0682
-1.12497,2.11638,99.0646
-1.12341,2.12626,99.061
-1.1218,2.13613,99.0573
-1.12015,2.14599,99.0537
-1.11844,2.15584,99.05
-1.11669,2.16569,99.0464
-1.11488,2.17553,99.0428
-1.11303,2.18535,99.0391
-1.11113,2.19517,99.0355
-1.10917,2.20498,99.0318
-1.10717,2.21478,99.0282
-1.10512,2.22456,99.0246
-1.10303,2.23434,99.0209
-1.10088,2.24411,99.0173
-1.09868,2.25386,99.0136
