x,y,z
-2.68832,0.0721763,99.2684
-2.69366,0.0637215,99.2648
-2.69896,0.0552398,99.2611
-2.70422,0.0467317,99.2575
-2.70943,0.0381978,99.2539
-2.7146,0.0296378,99.2502
-2.71972,0.0210519,99.2466
-2.72481,0.0124403,99.2429
-2.72985,0.00380385,99.2393
-2.73485,-0.00485772,99.2357
-2.7398,-0.0135445,99.232
-2.74471,-0.022256,99.2284
-2.74958,-0.0309916,99.2247
-2.7544,-0.0397513,99.2211
-2.75918,-0.0485355,99.2175
-2.76392,-0.0573434,99.2138
-2.76861,-0.0661745,99.2102
-2.77325,-0.0750294,99.2065
-2.77786,-0.0839069,99.2029
-2.78241,-0.0928079,99.1993
-2.78693,-0.101731,99.1956
-2.7914,-0.110677,99.192
-2.79582,-0.119645,99.1883
-2.8002,-0.128635,99.1847
-2.80454,-0.137647,99.1811
-2.80882,-0.14668,99.1774
-2.81307,-0.155735,99.1738
-2.81727,-0.164811,99.1702
-2.82142,-0.173908,99.1665
-2.82553,-0.183025,99.1629
-2.82959,-0.192163,99.1592
-2.83361,-0.201321,99.1556
-2.83758,-0.210499,99.1519
-2.8415,-0.219697,99.1483
-2.84538,-0.228914,99.1447
-2.84921,-0.23815,99.141
-2.853,-0.247406,99.1374
-2.85674,-0.25668,99.1338
-2.86043,-0.265973,99.1301
-2.86408,-0.275284,99.1265
-2.86768,-0.284614,99.1228
-2.87123,-0.293961,99.1192
-2.87474,-0.303326,99.1156
-2.8782,-0.312708,99.1119
-2.88161,-0.322108,99.1083
-2.88498,-0.331525,99.1046
-2.8883,-0.340958,99.101
-2.89157,-0.350407,99.0974
-2.89479,-0.359873,99.0937
-2.89797,-0.369356,99.0901
-2.9011,-0.378853,99.0864
-2.90418,-0.388366,99.0828
-2.90722,-0.397895,99.0792
-2.9102,-0.407439,99.0755
-2.91314,-0.416997,99.0719
-2.91603,-0.426569,99.0682
-2.91887,-0.436157,99.0646
-2.92167,-0.445758,99.061
-2.92442,-0.455373,99.0573
-2.92712,-0.465002,99.0537
-2.92977,-0.474645,99.05
-2.93237,-0.4843,99.0464
-2.93492,-0.493968,99.0428
-2.93743,-0.503649,99.0391
-2.93989,-0.513342,99.0355
-2.9423,-0.523048,99.0318
-2.94466,-0.532765,99.0282
-2.94697,-0.542494,99.0246
-2.94923,-0.552235,99.0209
-2.95145,-0.561987,99.0173
-2.95361,-0.57175,99.0136
-2.95573,-0.581523,99.01
-2.9578,-0.591306,99.0064
-2.95982,-0.601101,99.0027
-2.96179,-0.610905,98.9991
-2.96371,-0.620718,98.9954
-2.96558,-0.630541,98.9918
-2.9674,-0.640374,98.9882
-2.96918,-0.650216,98.9845
-2.9709,-0.660066,98.9809
-2.97257,-0.669924,98.9772
-2.9742,-0.679791,98.9736
-2.97578,-0.689667,98.97
-2.9773,-0.699549,98.9663
-2.97878,-0.709439,98.9627
-2.98021,-0.719337,98.959
-2.98159,-0.729241,98.9554
-2.98292,-0.739153,98.9518
-2.9842,-0.74907,98.9481
-2.98543,-0.758994,98.9445
-2.98661,-0.768925,98.9408
-2.98774,-0.77886,98.9372
-2.98882,-0.788802,98.9336
-2.98985,-0.798748,98.9299
-2.99083,-0.8087,98.9263
-2.99176,-0.818657,98.9226
-2.99264,-0.828618,98.919
-2.99348,-0.838583,98.9154
-2.99426,-0.848553,98.9117
-2.99499,-0.858526,98.9081
-2.99567,-0.868502,98.9044
-2.9963,-0.878482,98.9008
-2.99689,-0.888465,98.8972
-2.99742,-0.898451,98.8935
-2.9979,-0.908439,98.8899
-2.99834,-0.91843,98.8863
-2.99872,-0.928423,98.8826
-2.99905,-0.938417,98.879
-2.99933,-0.948413,98.8753
-2.99957,-0.95841,98.8717
-2.99975,-0.968409,98.868
-2.99988,-0.978408,98.8644
-2.99997,-0.988407,98.8608
-3,-0.998407,98.8571
-2.99998,-1.00841,98.8535
-2.99992,-1.01841,98.8499
-2.9998,-1.02841,98.8462
-2.99963,-1.0384,98.8426
-2.99941,-1.0484,98.8389
-2.99915,-1.0584,98.8353
-2.99883,-1.06839,98.8317
-2.99846,-1.07839,98.828
-2.99805,-1.08838,98.8244
-2.99758,-1.09837,98.8207
-2.99706,-1.10835,98.8171
-2.9965,-1.11834,98.8135
-2.99588,-1.12832,98.8098
-2.99521,-1.1383,98.8062
-2.9945,-1.14827,98.8025
-2.99373,-1.15824,98.7989
-2.99291,-1.16821,98.7953
-2.99205,-1.17817,98.7916
-2.99113,-1.18813,98.788
-2.99017,-1.19808,98.7843
-2.98915,-1.20803,98.7807
-2.98809,-1.21797,98.7771
-2.98697,-1.22791,98.7734
-2.98581,-1.23784,98.7698
-2.98459,-1.24777,98.7661
-2.98333,-1.25769,98.7625
-2.98202,-1.2676,98.7589
-2.98065,-1.27751,98.7552
-2.97924,-1.28741,98.7516
-2.97778,-1.2973,98.7479
-2.97627,-1.30719,98.7443
-2.97471,-1.31706,98.7407
-2.9731,-1.32693,98.737
-2.97144,-1.33679,98.7334
-2.96973,-1.34665,98.7297
-2.96797,-1.35649,98.7261
-2.96616,-1.36633,98.7225
-2.96431,-1.37615,98.7188
-2.9624,-1.38597,98.7152
-2.96045,-1.39578,98.7115
-2.95845,-1.40557,98.7079
-2.95639,-1.41536,98.7043
-2.95429,-1.42514,98.7006
-2.95214,-1.43491,98.697
-2.94994,-1.44466,98.6933
-2.9477,-1.4544,98.6897
-2.9454,-1.46414,98.6861
-2.94305,-1.47386,98.6824
-2.94066,-1.48357,98.6788
-2.93822,-1.49326,98.6751
-2.93573,-1.50295,98.6715
-2.93319,-1.51262,98.6679
-2.9306,-1.52228,98.6642
-2.92797,-1.53193,98.6606
-2.92528,-1.54156,98.657
-2.92255,-1.55118,98.6533
-2.91977,-1.56079,98.6497
-2.91694,-1.57038,98.646
-2.91407,-1.57996,98.6424
-2.91114,-1.58952,98.6387
-2.90817,-1.59907,98.6351
-2.90515,-1.6086,98.6315
-2.90209,-1.61812,98.6278
-2.89897,-1.62762,98.6242
-2.89581,-1.63711,98.6206
-2.8926,-1.64658,98.6169
-2.88934,-1.65603,98.6133
-2.88604,-1.66547,98.6096
-2.88269,-1.67489,98.606
-2.87929,-1.6843,98.6024
-2.87585,-1.69369,98.5987
-2.87235,-1.70306,98.5951
-2.86882,-1.71241,98.5914
-2.86523,-1.72175,98.5878
